Nick: 1, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 1, Osiagniecia: 2 "30 ships placed",
Nick: a, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 4, Osiagniecia: 
Nick: b, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 0, Osiagniecia: 
Nick: jan, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 0, Osiagniecia: 
Nick: dupa, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 0, Osiagniecia: 
Nick: f, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 3, Osiagniecia: 
Nick: d, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 0, Osiagniecia: 
Nick: g, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 0, Osiagniecia: 
Nick: sran, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 0, Osiagniecia: 
Nick: sraka, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 0, Osiagniecia: 
Nick: 2, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 0, Osiagniecia: 
Nick: papug, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 0, Osiagniecia: 
Nick: test, Ilosc zwyciestw: 0, Trafione pola: 0, Postawione statki: 0, Osiagniecia: 
